0.380019795 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 553472
0.382219876 10.0.0.1:56451 10.0.0.2:5001 32 0xed0acd17 0xed083cf7 117 105 553472 33 29696
0.382441213 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 559104
0.384636944 10.0.0.1:56451 10.0.0.2:5001 32 0xed0ad867 0xed084847 117 105 559104 33 29696
0.384863904 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 564736
0.387061545 10.0.0.1:56451 10.0.0.2:5001 32 0xed0ae3b7 0xed085397 117 105 564736 33 29696
0.387285914 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 570880
0.389489070 10.0.0.1:56451 10.0.0.2:5001 32 0xed0afa57 0xed085ee7 118 105 570880 33 29696
0.389708077 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 576512
0.391902784 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b05a7 0xed086a37 118 105 576512 33 29696
0.392132440 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 582144
0.394337102 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b10f7 0xed087587 118 105 582144 33 29696
0.394550216 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.396748561 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b1c47 0xed0880d7 118 105 585216 33 29696
0.396975704 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.399072672 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b2797 0xed088c27 118 105 585216 33 29696
0.399407262 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.401585434 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b32e7 0xed089777 118 105 585216 33 29696
0.401820545 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.404012425 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b3e37 0xed08a2c7 118 105 585216 33 29696
0.404246130 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.406471116 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b4987 0xed08ae17 119 105 585216 33 29696
0.406663136 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.408832222 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b54d7 0xed08b967 119 105 585216 33 29696
0.409463373 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.411650626 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b6027 0xed08c4b7 119 105 585216 33 29696
0.413936598 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.416129210 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b76c7 0xed08db57 119 105 585216 34 29696
0.416357508 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.418543264 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b8217 0xed08e6a7 119 105 585216 33 29696
0.418777385 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.420950307 10.0.0.1:56451 10.0.0.2:5001 32 0xed0b8d67 0xed08f1f7 119 105 585216 34 29696
0.421199134 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.423385095 10.0.0.1:56451 10.0.0.2:5001 32 0xed0ba407 0xed08fd47 120 105 585216 34 29696
0.423622256 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.425793259 10.0.0.1:56451 10.0.0.2:5001 32 0xed0baf57 0xed090897 120 105 585216 34 29696
0.426043813 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.428215068 10.0.0.1:56451 10.0.0.2:5001 32 0xed0bbaa7 0xed0913e7 120 105 585216 34 29696
0.428466569 10.0.0.2:5001 10.0.0.1:56451 2928 0x80340eb 0x80340eb 10 2147483647 29696 2 585216
0.430647918 10.0.0.1:56451 10.0.0.2:5001 32 0xed0bc5f7 0xed091f37 120 105 585216 33 29696
